,order_id,categoria,categoria_final
1338,3580fbd460098a41fb19ad93e010e638,['MODA E BELEZA'],MODA E BELEZA
1339,359619f12869deeaa50fa7762f5064bc,['ARTES E DECORACAO'],ARTES E DECORACAO
1340,3598d5876c343ad3d9699be24dc09b8a,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1341,35b69c976146412e632585ca8260da83,['MODA E BELEZA'],MODA E BELEZA
1342,35b6b0272ca66bd5fef6d110463c40cc,['MODA E BELEZA'],MODA E BELEZA
1343,35bc36d5460374d96175822d91d79cd1,['AUTOMOTIVO'],AUTOMOTIVO
1344,35bf7f86bc7add201e5b6573052157f0,['BEBES'],BEBES
1345,35c136a4dcd64f2fe2f287bec7cc3f07,['CASA E CONFORTO'],CASA E CONFORTO
1346,35c2decdf1241aa585186aa82df2f768,['MODA E BELEZA'],MODA E BELEZA
1347,35c3b3b2f196293240304eb8601b3d8c,['AUTOMOTIVO'],AUTOMOTIVO
1348,35cf1961f10100bb2198e4f935ab4173,['CASA E CONFORTO'],CASA E CONFORTO
1349,35d71bd32993bd9959f7eefe1a5a0f4a,['AUTOMOTIVO'],AUTOMOTIVO
1350,35d89cb00c04825ece90d7a205c0347f,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1351,35df2a75e8f319d4fe179f529613d23d,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1352,35e3f3cac84a02e430e53ca318ce9791,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1353,35f741bc89012d1594cfb82d0d9da8b8,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1354,35fd272b7bfd7824349c5d0defad43ed,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1355,35fdc6a25ee3a21b000346caeee26e29,['PET SHOP'],PET SHOP
1356,3602a80b09d914236f74c733631f3b8b,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1357,3606d0126c19d4197f835572f5162c20,['CASA E CONFORTO'],CASA E CONFORTO
1358,3607a5c1a425d6896e8327401100e0b2,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1359,360fd3c9f0384d65adb0cfd334fc152f,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1360,3611e9793009655c4d1350655211953c,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
